VALUE, ITERATIVE, RECURSIVE
1, 1.0020732879638672e-05, 0.0
2, 0.0, 1.0054111480712891e-05
3, 0.0, 0.0
4, 1.0008811950683593e-05, 0.0
5, 0.0, 1.0013580322265625e-05
6, 0.0, 9.977817535400391e-06
7, 0.0, 1.0013580322265625e-05
8, 0.0, 0.0
9, 0.0, 0.0
10, 0.0, 0.0
11, 0.0, 0.0
12, 0.0, 0.0
13, 0.0, 0.0
14, 1.0058879852294921e-05, 0.0
15, 1.0001659393310548e-05, 0.0
16, 9.980201721191406e-06, 0.0
17, 1.0056495666503906e-05, 0.0
18, 9.963512420654297e-06, 0.0
19, 0.0, 0.0
20, 0.0, 0.0
21, 0.0, 9.984970092773438e-06
22, 0.0, 0.0
23, 1.0025501251220702e-05, 0.0
24, 9.996891021728516e-06, 0.0
25, 0.0, 9.992122650146484e-06
26, 1.0063648223876953e-05, 0.0
27, 9.973049163818359e-06, 0.0
28, 0.0, 0.0
29, 0.0, 0.0
30, 0.0, 1.0020732879638672e-05
31, 1.0025501251220702e-05, 0.0
32, 0.0, 0.0
33, 9.968280792236329e-06, 1.0030269622802734e-05
34, 0.0, 0.0
35, 1.0039806365966797e-05, 0.0
36, 9.982585906982421e-06, 0.0
37, 0.0, 0.0
38, 0.0, 1.0077953338623048e-05
39, 9.963512420654297e-06, 0.0
40, 1.0023117065429687e-05, 0.0
41, 1.0113716125488282e-05, 0.0
42, 0.0, 0.0
43, 1.0063648223876953e-05, 0.0
44, 1.0001659393310548e-05, 0.0
45, 9.973049163818359e-06, 0.0
46, 9.95159149169922e-06, 0.0
47, 4.544258117675781e-06, 0.0
48, 0.0, 0.0
49, 1.3666152954101563e-05, 0.0
50, 1.016855239868164e-05, 0.0
51, 5.0806999206542966e-06, 0.0
52, 0.0, 0.0
53, 0.0, 0.0
54, 0.0, 0.0
55, 1.0077953338623048e-05, 0.0
56, 9.918212890625e-06, 1.0004043579101563e-05
57, 9.963512420654297e-06, 0.0
58, 0.0, 0.0
59, 0.0, 0.0
60, 0.0, 0.0
61, 3.0319690704345704e-05, 0.0
62, 0.0, 0.0
63, 2.0020008087158203e-05, 0.0
64, 9.808540344238281e-06, 0.0
65, 1.0120868682861329e-05, 0.0
66, 9.963512420654297e-06, 1.0046958923339844e-05
67, 9.975433349609376e-06, 0.0
68, 9.982585906982421e-06, 0.0
69, 0.0, 0.0
70, 0.0, 1.0263919830322265e-05
71, 0.0, 1.0066032409667968e-05
72, 9.946823120117187e-06, 0.0
73, 9.958744049072266e-06, 0.0
74, 0.0, 0.0
75, 9.992122650146484e-06, 0.0
76, 1.0044574737548829e-05, 0.0
77, 9.968280792236329e-06, 0.0
78, 0.0, 0.0
79, 1.0182857513427735e-05, 0.0
80, 1.0123252868652344e-05, 0.0
81, 1.0111331939697265e-05, 9.93967056274414e-06
82, 9.992122650146484e-06, 0.0
83, 9.984970092773438e-06, 0.0
84, 9.944438934326172e-06, 0.0
85, 0.0, 0.0
86, 9.95635986328125e-06, 0.0
87, 1.0056495666503906e-05, 1.0004043579101563e-05
88, 0.0, 0.0
89, 9.884834289550781e-06, 0.0
90, 1.0001659393310548e-05, 0.0
91, 1.0001659393310548e-05, 0.0
92, 0.0, 9.996891021728516e-06
93, 2.0070075988769533e-05, 0.0
94, 2.032756805419922e-05, 0.0
95, 0.0, 0.0
96, 9.977817535400391e-06, 0.0
97, 1.001119613647461e-05, 0.0
98, 9.953975677490234e-06, 0.0
99, 9.984970092773438e-06, 0.0
100, 1.0001659393310548e-05, 0.0
101, 1.0046958923339844e-05, 0.0
102, 1.001596450805664e-05, 0.0
103, 9.953975677490234e-06, 0.0
104, 1.001119613647461e-05, 0.0
105, 1.003265380859375e-05, 1.0080337524414063e-05
106, 9.791851043701172e-06, 0.0
107, 9.977817535400391e-06, 0.0
108, 9.977817535400391e-06, 0.0
109, 9.977817535400391e-06, 0.0
110, 9.992122650146484e-06, 0.0
111, 0.0, 0.0
112, 0.0, 0.0
113, 0.0, 0.0
114, 0.0, 9.968280792236329e-06
115, 0.0, 1.0008811950683593e-05
116, 0.0, 1.002788543701172e-05
117, 0.0, 0.0
118, 1.009225845336914e-05, 9.851455688476563e-06
119, 9.946823120117187e-06, 0.0
120, 9.973049163818359e-06, 0.0
121, 9.980201721191406e-06, 0.0
122, 0.0, 0.0
123, 0.0, 0.0
124, 1.0042190551757812e-05, 0.0
125, 9.984970092773438e-06, 0.0
126, 0.0, 0.0
127, 1.009225845336914e-05, 0.0
128, 2.0043849945068358e-05, 0.0
129, 1.0073184967041016e-05, 0.0
130, 9.930133819580078e-06, 0.0
131, 9.937286376953125e-06, 0.0
132, 9.982585906982421e-06, 0.0
133, 0.0, 0.0
134, 0.0, 9.99927520751953e-06
135, 9.839534759521485e-06, 0.0
136, 1.0023117065429687e-05, 0.0
137, 1.0309219360351563e-05, 0.0
138, 9.829998016357421e-06, 0.0
139, 1.0025501251220702e-05, 0.0
140, 9.865760803222657e-06, 0.0
141, 0.0, 0.0
142, 1.015186309814453e-05, 0.0
143, 1.0039806365966797e-05, 0.0
144, 1.0218620300292969e-05, 0.0
145, 9.839534759521485e-06, 5.326271057128906e-06
146, 1.0309219360351563e-05, 0.0
147, 1.9910335540771486e-05, 9.953975677490234e-06
148, 2.00653076171875e-05, 0.0
149, 1.0058879852294921e-05, 0.0
150, 0.0, 9.968280792236329e-06
151, 1.0073184967041016e-05, 0.0
152, 9.899139404296876e-06, 1.0192394256591797e-05
153, 1.0008811950683593e-05, 0.0
154, 1.002788543701172e-05, 0.0
155, 1.0080337524414063e-05, 0.0
156, 0.0, 9.86337661743164e-06
157, 2.0215511322021486e-05, 0.0
158, 2.0010471343994142e-05, 0.0
159, 1.0008811950683593e-05, 0.0
160, 9.961128234863282e-06, 0.0
161, 9.791851043701172e-06, 1.0192394256591797e-05
162, 1.001119613647461e-05, 0.0
163, 9.884834289550781e-06, 0.0
164, 9.882450103759766e-06, 0.0
165, 9.93967056274414e-06, 0.0
166, 9.86337661743164e-06, 1.0020732879638672e-05
167, 2.002716064453125e-05, 0.0
168, 9.87529754638672e-06, 0.0
169, 1.0130405426025391e-05, 0.0
170, 9.794235229492187e-06, 1.0154247283935548e-05
171, 9.85860824584961e-06, 0.0
172, 1.0004043579101563e-05, 0.0
173, 9.860992431640625e-06, 0.0
174, 9.982585906982421e-06, 0.0
175, 1.9989013671875e-05, 9.88006591796875e-06
176, 0.0, 9.961128234863282e-06
177, 1.0111331939697265e-05, 0.0
178, 9.99927520751953e-06, 0.0
179, 2.0051002502441405e-05, 0.0
180, 1.016855239868164e-05, 0.0
181, 9.827613830566406e-06, 0.0
182, 1.0304450988769531e-05, 0.0
183, 1.3475418090820313e-05, 0.0
184, 1.0211467742919921e-05, 0.0
185, 1.0020732879638672e-05, 0.0
186, 1.001119613647461e-05, 0.0
187, 9.975433349609376e-06, 0.0
188, 1.018524169921875e-05, 0.0
189, 9.872913360595702e-06, 1.0128021240234374e-05
190, 9.818077087402344e-06, 0.0
191, 1.035451889038086e-05, 0.0
192, 1.0211467742919921e-05, 9.734630584716796e-06
193, 2.009153366088867e-05, 0.0
194, 9.777545928955078e-06, 0.0
195, 9.870529174804687e-06, 0.0
196, 1.0118484497070312e-05, 9.891986846923829e-06
197, 0.0, 1.3051033020019532e-05
198, 1.8253326416015626e-05, 0.0
199, 2.008199691772461e-05, 0.0
200, 2.015113830566406e-05, 0.0
201, 1.0192394256591797e-05, 0.0
202, 9.844303131103515e-06, 0.0
203, 2.1300315856933595e-05, 8.73565673828125e-06
204, 9.882450103759766e-06, 0.0
205, 9.932518005371093e-06, 0.0
206, 2.0301342010498048e-05, 0.0
207, 1.9893646240234374e-05, 0.0
208, 1.0197162628173829e-05, 0.0
209, 9.832382202148438e-06, 1.0142326354980469e-05
210, 2.0029544830322267e-05, 0.0
211, 9.95159149169922e-06, 0.0
212, 1.0139942169189453e-05, 0.0
213, 1.0068416595458984e-05, 1.0085105895996093e-05
214, 1.997232437133789e-05, 9.958744049072266e-06
215, 1.9996166229248048e-05, 0.0
216, 1.0187625885009765e-05, 0.0
217, 9.86337661743164e-06, 1.0128021240234374e-05
218, 0.0, 9.927749633789063e-06
219, 1.001119613647461e-05, 9.982585906982421e-06
220, 9.827613830566406e-06, 0.0
